"方向","代码","名称","订单价格","订单数量","订单金额","交易状态","已成交@均价","下单时间","类型","期限","盘前竞价","时段","触发价","允许开仓","市场","币种","订单来源","成交数量","成交价格","成交金额","成交时间","市场","币种","对手经纪","备注","佣金","平台使用费","交收费","印花税","交易费","证监会征费","财汇局征费","交易活动费","期权监管费","期权清算费","期权交收费","合计费用"
"","","","","","","","","","","","","","","","","","","41","190.92","7,827.72","2026/02/10 06:18:19 (美东)","美股","USD","","","","","","","","","","","","","",""
"卖出","SQQQ","三倍做空纳指ETF-ProShares","68.96","100","6,896.00","全部成交","100@68.97","2026/02/09 10:45:21 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","89","68.97","6,138.33","2026/02/09 10:45:43 (美东)","美股","USD","","","0.99","1","0.3","","","","","0.03","","","","2.32"
"","","","","","","","","","","","","","","","","","","11","68.97","758.67","2026/02/09 10:45:43 (美东)","美股","USD","","","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","69.80","100","6,980.00","全部成交","100@69.7697","2026/02/09 10:28:06 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","69.7697","6,976.97","2026/02/09 10:28:07 (美东)","美股","USD","","","0.99","1","0.3","","","","","","","","","2.29"
"卖出","NVDA260209C190000","NVDA 260209 190.00C","2.21","1","221.00","全部成交","1@2.21","2026/02/09 10:22:41 (美东)","限价单","当日有效","","","","","美股","USD","","1","2.21","221.00","2026/02/09 10:22:41 (美东)","美股","USD","","","1.99","0.3","","","","","","0.01","0.01","0.02","0.18","2.51"
"卖出","SNDK","闪迪","592.00","20","11,840.00","全部成交","20@592.00","2026/02/09 10:04:31 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","592.00","11,840.00","2026/02/09 10:06:16 (美东)","美股","USD","","","0.99","1","0.06","","","","","0.01","","","","2.06"
"买入","SNDK","闪迪","586.40","20","11,728.00","全部成交","20@585.7676","2026/02/09 10:04:22 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","585.7676","11,715.35","2026/02/09 10:04:22 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","2.05"
"卖出","NVDA260209C190000","NVDA 260209 190.00C","3.30","1","330.00","已撤单","0@0.00","2026/02/09 09:54:28 (美东)","限价单","当日有效","","","","","美股","USD","","","","","","","","","","","","","","","","","","","","",""
"买入","NVDA260209C190000","NVDA 260209 190.00C","2.53","1","253.00","全部成交","1@2.53","2026/02/09 09:54:12 (美东)","限价单","当日有效","","","","","美股","USD","","1","2.53","253.00","2026/02/09 09:54:12 (美东)","美股","USD","","","1.99","0.3","","","","","","","0.01","0.02","0.18","2.5"
"卖出","SNDK","闪迪","590.00","20","11,800.00","全部成交","20@590.00","2026/02/06 10:08:34 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","590.00","11,800.00","2026/02/06 10:11:12 (美东)","美股","USD","","","0.99","1","0.06","","","","","0.01","","","","2.06"
"买入","SNDK","闪迪","583.93","20","11,678.60","全部成交","20@583.93","2026/02/06 10:08:24 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","583.93","11,678.60","2026/02/06 10:08:25 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","2.05"
"卖出","SNDK","闪迪","614.00","20","12,280.00","全部成交","20@614.00","2026/02/06 09:34:01 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","614.00","12,280.00","2026/02/06 09:52:38 (美东)","美股","USD","","","0.99","1","0.06","","","","","0.01","","","","2.06"
"买入","SNDK","闪迪","609.12","20","12,182.40","全部成交","20@609.12","2026/02/06 09:33:54 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","609.12","12,182.40","2026/02/06 09:33:55 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","2.05"
